"site","latitude","longitude","Alaska blackfish","Chinook salmon","Dolly Varden","Other species not listed (please specify in comment column)","Pacific salmon-unspecified","coho salmon","general fish observation, no species information","lamprey-unspecified","ninespine stickleback","no fish collected or observed","rainbow trout","salmonid, unspecified","sculpin-unspecified","slimy sculpin","sockeye salmon","steelhead (adult)","stickleback-unspecified","threespine stickleback","wood frog"
"Unknown Nikiski Lake 1",60.772427,-151.086562,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Bird Lake",60.980488,-150.413682,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0
"Summit Lake Outlet",60.642345,-149.493959,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0
"60.5368105858248,-150.754533535057",60.5368105858248,-150.754533535057,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
"McLain Lake NE",60.869922,-150.57885,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,194,0,0
"North Nikiski Lake 2",60.794255,-150.987442,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0
"Snag Lake South",60.813447,-150.69006,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,44,0,0
"60.6191638332369,-151.091797000174",60.6191638332369,-151.091797000174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"60.6221846664509,-151.090153332935",60.6221846664509,-151.090153332935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.6222674998185,-151.090121500235",60.6222674998185,-151.090121500235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Bernice Culvert",60.690472,-151.38359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0
"Dolly Varden Way - Downstream",60.52771,-150.984454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
"East Mackey Lake",60.535273,-150.9913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0
"Mackey Lakes Crossing - Upstream",60.525146,-151.002331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
"Salamatof Creek",60.639425,-151.317488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0
"Sevena lake Trib 2",60.54223,-150.99913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
"South Mackey Pond",60.522313,-151.007562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0
"Suneva Lake",60.751657,-151.194125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,51,0
"Union Lake 1",60.525046,-151.03399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009,0,0
"Unknown Nikiski Lake 2",60.76791,-151.072017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0
"soldotna_creek2",60.54188,-150.9276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
"Kasilof Trib 1.1",60.3333,-151.27026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"West Beck Lake 2",60.727634,-151.143755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"60.6223748335068,-151.09008166624",60.6223748335068,-151.09008166624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"60.4836089833584,-151.058868583291",60.4836089833584,-151.058868583291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.4836546668301,-151.058816833144",60.4836546668301,-151.058816833144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.4836548677589,-151.057820180184",60.4836548677589,-151.057820180184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.4836668332046,-151.058852333666",60.4836668332046,-151.058852333666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.48983684136,-149.716090663317",60.48983684136,-149.716090663317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5133439460281,-150.859893271401",60.5133439460281,-150.859893271401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5185531665679,-150.865639666713",60.5185531665679,-150.865639666713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5190314998128,-150.867780333171",60.5190314998128,-150.867780333171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5191188331783,-150.861787833607",60.5191188331783,-150.861787833607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5198751668078,-150.860827666621",60.5198751668078,-150.860827666621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5199434999825,-150.860761999773",60.5199434999825,-150.860761999773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5199826668706,-150.860682166494",60.5199826668706,-150.860682166494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5200878332918,-150.86050333348",60.5200878332918,-150.86050333348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5201656666832,-150.860427666587",60.5201656666832,-150.860427666587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5201821667387,-150.86045083324",60.5201821667387,-150.86045083324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5202457920482,-150.860424536857",60.5202457920482,-150.860424536857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5202666345661,-150.860350736663",60.5202666345661,-150.860350736663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.52127209827,-150.859240390226",60.52127209827,-150.859240390226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5294026665651,-151.081506167079",60.5294026665651,-151.081506167079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5294728331745,-151.081384500155",60.5294728331745,-151.081384500155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5295859998577,-151.081322833505",60.5295859998577,-151.081322833505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5296468334764,-151.081300499591",60.5296468334764,-151.081300499591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5417069999622,-151.101298166524",60.5417069999622,-151.101298166524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5417881667668,-151.101257499791",60.5417881667668,-151.101257499791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5417883333183,-151.101223666542",60.5417883333183,-151.101223666542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5418363332576,-151.101235666238",60.5418363332576,-151.101235666238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5418780002095,-151.101230166751",60.5418780002095,-151.101230166751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5419361666829,-151.101186666732",60.5419361666829,-151.101186666732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5425407257567,-151.216868418492",60.5425407257567,-151.216868418492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5425688829015,-151.217114913511",60.5425688829015,-151.217114913511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5493051664676,-150.752892499882",60.5493051664676,-150.752892499882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5524128332384,-150.75742716669",60.5524128332384,-150.75742716669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.6124098334616,-151.095687167088",60.6124098334616,-151.095687167088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.6137856666128,-151.101816000369",60.6137856666128,-151.101816000369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.6138270491459,-151.101867428021",60.6138270491459,-151.101867428021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.6142543333377,-151.101662000383",60.6142543333377,-151.101662000383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.6175083332561,-151.092390667101",60.6175083332561,-151.092390667101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.6186671667768,-151.091918500011",60.6186671667768,-151.091918500011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.6202111668466,-151.091437499787",60.6202111668466,-151.091437499787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.7964421667126,-149.194319500099",60.7964421667126,-149.194319500099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.7980731802086,-149.190451667099",60.7980731802086,-149.190451667099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.8003364549796,-149.200931741089",60.8003364549796,-149.200931741089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.8027937774246,-149.201802788013",60.8027937774246,-149.201802788013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA,NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
