Table 3.3 - Species Count by Site (1 of 5),,,,,,,,,,,,,,
site,Alaska blackfish,Chinook salmon,Dolly Varden,Pacific salmon-unspecif-ied,coho salmon,lamprey-unspecif-ied,nine-spine stickleback,rainbow trout,"salmonid, unspecif- ied",sculpin-unspecif-ied,slimy sculpin,sockeye salmon,stickle-back-unspecif-ied,three-spine stickle-back
site,Alaska blackfish,Chinook salmon,Dolly Varden,Pacific salmon-unspecif-ied,coho salmon,lamprey-unspecif-ied,nine-spine stickleback,rainbow trout,"salmonid, unspecif- ied",sculpin-unspecif-ied,slimy sculpin,sockeye salmon,stickle-back-unspecif-ied,three-spine stickle-back
Beaver Creek Trib 1.3,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Coal Creek Trib 1,0,0,0,0,17,0,0,0,0,2,0,0,3,0
,,,,,,,,,,,,,,
Derks Lake Outlet,0,0,0,0,1,0,0,0,0,0,0,0,160,0
Dolly Varden Way - Upstream,0,0,0,0,2,0,0,0,0,0,0,0,8,0
Forestner Culvert - Upstream,0,0,0,0,7,0,0,0,0,0,0,0,0,0
Kasilof Trib 2,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Lower Beaver Creek,0,0,0,0,16,0,0,1,0,0,2,0,0,0
Mackey Lakes Culvet - Downstream,0,0,0,0,7,0,0,7,0,0,0,0,179,0
Moose River Trib 1.4,0,0,0,0,9,0,0,0,0,0,0,0,0,0
Moose River Trib 3.1 - Downstream,0,0,0,0,1,0,0,0,0,0,0,0,0,0
No Name Creek (Shqui Tsaina),0,0,0,0,1,0,0,0,0,0,0,0,0,0
North Nikiski Lake 1.1,0,0,0,0,2,0,0,1,0,0,9,0,0,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Table 3.3 - Species Count by Site (4 of 5),,,,,,,,,,,,,,
site,Alaska blackfish,Chinook salmon,Dolly Varden,Pacific salmon-unspecif-ied,coho salmon,lamprey-unspecif-ied,nine-spine stickleback,rainbow trout,"salmonid, unspecif- ied",sculpin-unspecif-ied,slimy sculpin,sockeye salmon,stickle-back-unspecif-ied,three-spine stickle-back
North Nikiski Lake 1.2,0,0,0,0,2,0,0,0,0,0,9,0,0,49
Resurrection Pass Bridge,0,0,0,0,1,0,0,0,0,5,0,0,0,0
Savena Lake Trib,0,0,0,0,10,0,0,0,0,0,0,0,18,0
Tree Lake,0,0,0,0,1,0,0,0,0,0,0,0,75,0
West Fork Beaver Creek Bridge - Upstream,0,0,0,0,3,0,0,0,0,0,0,0,0,0
West Mackey Lake,0,0,0,0,3,0,0,0,0,0,0,0,200,0
West Mackey Lake 2,0,0,0,0,3,0,0,0,0,0,0,0,103,0
Unknown Nikiski Lake 1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Bird Lake,0,0,0,0,0,0,0,2,0,0,0,0,3,0
Summit Lake Outlet,0,0,0,0,0,0,0,5,0,0,0,0,1,0
McLain Lake NE,0,0,0,0,0,0,0,0,0,0,2,0,194,0
North Nikiski Lake 2,0,0,0,0,0,0,0,0,0,0,2,0,8,0
Snag Lake South,0,0,0,0,0,0,0,0,0,0,2,0,44,0
Moose River Trib 1.3,0,0,2,0,18,0,0,1,0,0,0,0,0,0
,,,,,,,,,,,,,,
Table 3.3 - Species Count by Site (5 of 5),,,,,,,,,,,,,,
site,Alaska blackfish,Chinook salmon,Dolly Varden,Pacific salmon-unspecif-ied,coho salmon,lamprey-unspecif-ied,nine-spine stickleback,rainbow trout,"salmonid, unspecif- ied",sculpin-unspecif-ied,slimy sculpin,sockeye salmon,stickle-back-unspecif-ied,three-spine stickle-back
Bernice Culvert,0,0,0,0,0,0,0,0,0,0,0,0,51,0
Dolly Varden Way - Downstream,0,0,0,0,0,0,0,0,0,0,0,0,20,0
East Mackey Lake,0,0,0,0,0,0,0,0,0,0,0,0,99,0
Mackey Lakes Crossing - Upstream,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Salamatof Creek,0,0,0,0,0,0,0,0,0,0,0,0,445,0
South Mackey Pond,0,0,0,0,0,0,0,0,0,0,0,0,168,0
Suneva Lake,0,0,0,0,0,0,0,0,0,0,0,0,10,51
Union Lake 1,0,0,0,0,0,0,0,0,0,0,0,0,1009,0
Unknown Nikiski Lake 2,0,0,0,0,0,0,0,0,0,0,0,0,7,8
soldotna_creek2,0,0,0,0,0,0,0,0,0,0,0,0,35,0
Kasilof Trib 1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
West Beck Lake 2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
