OBJECTID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,Station ID,Number of Satellites,Fix Time,Average Horizontal Accuracy (m),Average Vertical Accuracy (m),Averaged Positions,Standard Deviation (m),GlobalID,Survey Time and Date,Observer4,Observer3,Observer2,Observer1,Longitude,Latitude,Other water quality notes,pH,Specific Conductivity Unit,Specific Conductivity,Dissolved Oxygen Unit,Dissolved Oxygen,Water Temperature,Water Temperature Unit,Instrument Used,Stream Width,Fish Habitat Features 1,Sub Dominant Substrate,Dominant Substrate,Stream Width Unit,Fish Habitat Features 2,Gradient Unit,Gradient,FRPA Barrier?,On Main Channel?,Channel Type,Survey end reason,Fish Survey Performed?,Stream physical characteristics notes,Fish capture data notes,Minnow trap effort notes,Eletrofishing effort notes,Trap position,Trap quantity,Trap deployment time,Fish present?,End of survey?,Trap check time,Fish Count 1,Fish Life Stage 1,Fish Species 1,Electrofishing End Time,Electrofishing Start Time,Fish Life Stage 2,Fish Species 2,Fish Capture 1 Notes,Additional Fish Capture Data,Fish Capture 2 Notes,Fish Count 2,Fish Species 4,Fish Capture 3 Notes,Fish Count 3,Fish Life Stage 3,Fish Species 3,Fish Capture 6 Notes,Fish Count 6,Fish Life Stage 6,Fish Species 6,Fish Capture 5 Notes,Fish Count 5,Fish Life Stage 5,Fish Species 5,Fish Capture 4 Notes,Fish Count 4,Fish Life Stage 4,GPS Accuracy,Turbidity Observation Time,Turbidity Sample Collection Time,Turbidity,Stream Width 3,Stream Width 2,Gradient Facing Downstream,x,y
11,0.090747999999216,0,275.53551064798,2,Juniper Systems AR4,1.37931142241337,1.7,60.6175083333333,-151.092390666667,29.6,1.12999999523163,0.639999985694885,0.930000007152557,1,,,26,7/27/2025 10:01:54 PM,,,,,1d05b98d-b0bf-426d-bfc0-91fcf4c8ccb1,7/27/2025 10:02:16 PM,,SY,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Most downstream,1,7/27/2025 10:02:55 PM,,,7/29/2025 12:22:40 AM,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.092390667101,60.6175083332561
12,,,,5,,,,,,,,,,,,,,,,,,,61e6b5cb-f29d-4ad5-8a3e-48ee1061f7b1,7/27/2025 10:15:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Observed juvenile stickleback comma unable to capture photo,,,1,7/27/2025 10:15:47 PM,,,7/29/2025 12:27:11 AM,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.091918500011,60.6186671667768
13,0.042595999999632,0,248.880649600681,2,Juniper Systems AR4,1.28817700647077,1.8,60.6202111666667,-151.0914375,31.4,0.990000009536743,0.490000009536743,0.860000014305115,1,,,32,7/27/2025 10:27:21 PM,,,,,34a86d6e-721f-48c0-bb18-5188ab50492c,7/27/2025 10:27:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7/27/2025 10:27:41 PM,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.091437499787,60.6202111668466
14,0.131491999998864,0,1.48217004635637,2,Juniper Systems AR4,0.914166286842826,1.5,60.6221846666667,-151.090153333333,32.5,0.980000019073486,0.490000009536743,0.839999973773956,1,,,31,7/27/2025 10:55:33 PM,,,,,7cf39826-36dc-46da-93e0-63c5984052f8,7/27/2025 10:55:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7/27/2025 10:55:53 PM,,,7/29/2025 1:00:44 AM,,juvenile,Gasterosteidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.090153332935,60.6221846664509
15,,,,1,,,,,,,,,,,,,,,,,,,eb7562ec-58a0-4e69-86ad-3e46798bc65f,7/27/2025 10:59:26 PM,,,,BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7/27/2025 10:59:39 PM,,,7/29/2025 1:02:50 AM,1,juvenile,Gasterosteidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.090121500235,60.6222674998185
16,0.072227999999376,0,12.5262732396691,2,Juniper Systems AR4,0.888144132446981,1.4,60.6223748333333,-151.090081666667,33.7,1.04999995231628,0.519999980926514,0.910000026226044,1,,,30,7/27/2025 11:01:20 PM,,,,,d8ac2a4d-fe49-41b3-bfd5-bb1a536b6f7a,7/27/2025 11:01:34 PM,,,,BM,,,,,,,,,,,,,,,,,,,,,,,end of water,Y,,,,,Most upstream,1,7/27/2025 11:01:47 PM,,Y,7/29/2025 1:04:28 AM,2,tadpole,Rana sylvatica,,,,,,Appears to be seasonal Flowing Channel Downstream of this point period Undefined Wetland area Upstream of this point period Likely flowing water after Rainy periods. Consider durveying again after heavy rains in fall.,,,,,,,,,,,,,,,,,,,,,,,,,,-151.09008166624,60.6223748335068
17,0.03703999999968,0,294.316543280467,2,Juniper Systems AR4,1.35882302011704,2.1,60.6206078333333,-151.091485166667,31.7,1.00999999046326,0.509999990463257,0.870000004768372,1,,,30,7/27/2025 11:24:50 PM,,,,,19513ee7-cc71-44b9-93c9-0dd1ca008ba2,7/27/2025 11:25:02 PM,,,,"BM, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7/27/2025 11:25:15 PM,,,7/29/2025 12:44:44 AM,,tadpole,NA,,,,,tadpole frog species unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.091485167091,60.6206078331563
18,0.061115999999472,0,295.383343696742,2,Juniper Systems AR4,1.2517587627015,2,60.6191638333333,-151.091797,31.3,0.980000019073486,0.490000009536743,0.850000023841858,1,,,31,7/27/2025 11:34:50 PM,,,,,ba4b2118-0d55-44d3-971d-ec0280484217,7/27/2025 11:35:02 PM,,,,bm,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Juvenile stickleback observed comma could not capture photo,,,1,7/27/2025 11:35:15 PM,Y,N,7/29/2025 12:33:24 AM,1,,Rana sylvatica,,,juvenile,Gasterosteidae,,Most Upstream location where Visible flowing surface water is evident,,1,,,,,,,,,,,,,,,,,,,,,,,,-151.091797000174,60.6191638332369
19,0.044447999999616,0,75.8632526207901,2,Juniper Systems AR4,2.06155281280883,3.3,60.6150878333333,-151.086157,27.7,1.23000001907349,0.660000026226044,1.03999996185303,1,,,24,7/28/2025 7:21:29 PM,,,,,efe96578-8848-4fa3-9fa8-1314b6041a74,7/28/2025 7:21:34 PM,BR,AM,LS,BM,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,"First Practice session with Electro Fisher. Used quick Start set up comma Maximum 330 volts comma reduced to 300 volts
",,,,,,,1,juvenile,Oncorhynchus tshawytscha,7/28/2025 8:16:06 PM,7/28/2025 7:22:23 PM,adult,Cottidae,Mortality,,,3,Gasterosteidae,,7,juvenile,Oncorhynchus mykiss,,,,,mortality,1,juvenile,Oncorhynchus mykiss,,,juvenile,,,,,,,,-151.086157000426,60.6150878335298
20,0.100007999999136,0,208.022225759233,2,Juniper Systems AR4,0.926174929481467,1.5,60.6124098333333,-151.095687166667,29.7,0.879999995231628,0.469999998807907,0.740000009536743,1,,,32,7/28/2025 9:54:21 PM,,,,,c53ee462-c12e-44be-aec7-bbec7d8d25b3,7/28/2025 9:55:30 PM,BR,Am,LS,Bm,,,,,,,,,,,,0-1,SWD,,Fine Organic,ft,,%,0,,N,,,N,Approximately one foot wide comma likely additional and adjumerous habitat Upstream ,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.095687167088,60.6124098334616
21,,,,1,,,,,,,,,,,,,,,,,,,bc28481e-c93e-4aa8-bc08-725e7453e317,7/28/2025 10:29:19 PM,AM,LS,BR,BM,,,,,,,,,,,,1-2,SWD,Sand,Small Gravel,ft,,,0,,,,,Y,"At fork, not on NHD",,,Preceded 50 meters further Upstream Common not possible to electro fish Yes Comma Decided to work Downstream from this point,,,,Y,N,,,,None,,7/28/2025 10:53:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.101867428021,60.6138270491459
22,0.068523999999408,0,254.184995000681,2,Juniper Systems AR4,1.01118742080783,1.3,60.6142543333333,-151.101662,37.3,0.920000016689301,0.46000000834465,0.800000011920929,1,,,32,7/28/2025 10:48:37 PM,,,,,49d217ef-37f8-4254-8cf0-b6834e435dab,7/28/2025 10:48:49 PM,,,,BM,,,,,,,,,,,,,LWD,,Fine Organic,,,,0,,,,,N,Mossy upwelling area Comma lots of overhanging vegetation and fallen trees Period Series of seeps coming out from Hillside Seems to be origin of this Stream channel,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.101662000383,60.6142543333377
23,1.29084399998885,149.5,79.1798968590999,2,Juniper Systems AR4,0.923146792227542,1.3,60.6137856666667,-151.101816,35.8,0.879999995231628,0.449999988079071,0.75,1,,,32,7/28/2025 10:54:29 PM,,,,,72d0c16c-09ce-4ddb-8e97-23ff36360f86,7/28/2025 10:29:19 PM,AM,LS,BR,BM,,,,,,,,,,,,1-2,SWD,Sand,Small Gravel,ft,,,0,,,,,Y,"At fork, not on NHD",,,Preceded 50 meters further Upstream Common not possible to electro fish Yes Comma Decided to work Downstream from this point. Captured one Dolly varden Comma would expect to see more an adjuice species here If left minnow traps overnight,,,,Y,N,,,,None,7/28/2025 11:16:41 PM,7/28/2025 10:53:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.101816000369,60.6137856666128
24,0.01851999999984,0,179.830315789217,2,Juniper Systems AR4,0.764002617796562,1.1,60.5524128333333,-150.757427166667,71.7,0.870000004768372,0.479999989271164,0.730000019073486,2,,133,32,7/29/2025 10:13:30 PM,,,,,ed9a2af4-fd4a-49cf-ab37-3a062707fe65,7/29/2025 10:13:55 PM,,BR,LS,,,,,,,,,,,,,0-1,,,Fine Organic,ft,,%,1,,,,,,Walked out here for checking if it was good to e.fish. There was so much vegation that it was impossible to do. Return to survey with minnow traps.,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-150.75742716669,60.5524128332384
25,0.192780093279082,,20.3838901519775,2,iPhone SE 3,4.74865153019176,3.6198514369254,60.7980731800279,-149.190451667387,305.414317997172,,,,,,,,7/30/2025 9:53:19 PM,,,,,4ccbd5e8-cf6a-4d98-9a4f-fb2dfb4e1aea,7/30/2025 9:53:23 PM,,Br,Jb,Bm,,,,,,,,,,,,,,Cobble,Large Gravel,,,,,,Y,,end of water,Y,"Last observed fish and gradient measurement spot. Upstream gradient 0.8° at 35 m, downstream gradient -0.6° at 67 m. Estimated channel with 1.5 m, 2 m, and 3 m.",,,,,,,Y,Y,,,,None,,,,,,See nearest downstream point for fish capture details,,,,,,,,,,,,,,,,,,,,,,,,,,-149.190451667099,60.7980731802086
26,0.103711999999104,0,48.722314331018,2,Juniper Systems AR4,2.22036033111745,3.3,60.4836546666667,-151.058816833333,38.5,1.21000003814697,0.589999973773956,1.03999996185303,1,,,31,7/31/2025 3:15:35 AM,,,,,57b30953-c435-4ef1-8f10-20bc8ea06a07,7/30/2025 3:16:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.058816833144,60.4836546668301
27,0.15741999999864,0,106.714554573388,2,Juniper Systems AR4,1.29189782877749,1.9,60.7957461666667,-149.197589833333,322.6,1.30999994277954,0.730000019073486,1.10000002384186,1,,,20,7/30/2025 7:10:40 PM,,,,,02a24b90-f13c-40fc-8e7f-6c8ec016a9c7,7/30/2025 7:10:45 PM,,br,jb,bm,,,,,,,,,,,,4-6,Large Pool,Cobble,Large Gravel,ft,,,,,Y,,,Y,,,,BR using backpack,,,,Y,N,,1,juvenile,Oncorhynchus kisutch,7/30/2025 7:33:48 PM,7/30/2025 7:12:42 PM,juvenile,Salvelinus malma,,,,2,,,,,,,,,,,,,,,,,,,,,,,,-149.197589833061,60.7957461664763
28,0.89821999999224,99.35,102.486619665826,2,Juniper Systems AR4,0.944933860119321,1.4,60.7960016666667,-149.197044166667,320.4,0.889999985694885,0.479999989271164,0.75,1,,,31,7/30/2025 7:44:59 PM,,,,,b2847aa4-7f32-4c9f-8afb-a83bb77688b0,7/30/2025 7:44:07 PM,,,,,,,,,,,,,,,,2-4,Large Pool,,Cobble,ft,,,,,,,,,,,,observe group of seven or eight dv and coho,,,,,,,1,juvenile/adult,Oncorhynchus kisutch,7/30/2025 7:51:31 PM,7/30/2025 7:45:09 PM,juvenile/adult,Salvelinus malma,,,,1,,,,,,,,,,,,,,,,,,,,,,,,-149.197044166713,60.7960016668789
29,0.077783999999328,0,90.1323988913497,2,Juniper Systems AR4,1.08903627120496,1.4,60.7962438333333,-149.196412333333,321.8,0.990000009536743,0.540000021457672,0.829999983310699,1,,,29,7/30/2025 8:05:46 PM,,,,,b0b6ff88-d06c-46af-b0f5-2451140b284b,7/30/2025 8:05:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,N,,1,juvenile,Oncorhynchus kisutch,7/30/2025 8:06:13 PM,7/30/2025 8:06:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-149.196412333064,60.7962438333778
30,0.042595999999632,0,177.338949647941,2,Juniper Systems AR4,1.84390889145858,2.5,60.7963848333333,-149.195572166667,323.5,1.01999998092651,0.550000011920929,0.870000004768372,1,,,29,7/30/2025 8:15:14 PM,,,,,85571885-b7f1-4af7-9e27-f96d9fc2bd20,7/30/2025 8:16:31 PM,,jb,br,,,,,,,,,,,,,2-4,,Small Gravel,Cobble,ft,,,,,Y,,,Y,,,,,,,,Y,N,,2,juvenile,Oncorhynchus kisutch,7/30/2025 8:36:12 PM,7/30/2025 8:17:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-149.195572166627,60.796384833452
31,0.022223999999808,0,65.2386543102143,2,Juniper Systems AR4,2.33452350598575,3,60.7964421666667,-149.1943195,325,1.77999997138977,1.17999994754791,1.33000004291534,1,,,11,7/30/2025 8:30:30 PM,,,,,d4104369-fc9d-4ba9-b0b3-8930d1c94c93,7/30/2025 8:30:47 PM,,jb,br,,,,,,,,,,,,,2-4,Large Pool,Small Gravel,Large Gravel,ft,,,,,,,,Y,,,,,,,,Y,N,,,,None,7/30/2025 8:25:49 PM,7/30/2025 8:31:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-149.194319500099,60.7964421667126
32,0.112971999999024,0,262.497109824344,2,Juniper Systems AR4,2.22036033111745,2.8,60.797248,-149.192795333333,326.9,1.85000002384186,1.04999995231628,1.52999997138977,1,,,14,7/30/2025 8:46:16 PM,,,,,e6056b11-30fe-45f2-a8a1-8128b4fcbd48,7/30/2025 8:47:40 PM,,jb,br,,,,,,,,,,,,,2-4,,Small Gravel,Cobble,ft,,,,,,,,Y,,,,,,,,Y,N,,1,juvenile,Oncorhynchus kisutch,7/30/2025 8:40:43 PM,7/30/2025 8:48:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-149.192795333048,60.797248000059
33,0.06481999999944,0,179.859726583783,2,Juniper Systems AR4,0.926174929481467,1.4,60.7981191666667,-149.190669,326.6,1.07000005245209,0.519999980926514,0.910000026226044,1,,,28,7/30/2025 9:04:09 PM,,,,,e7733370-8bc8-4517-b5cf-09f8671153d5,7/30/2025 9:04:37 PM,,jb,br,,,,,,,,,,,,,4-6,Large Pool,Silt,Cobble,ft,,,,,,,,Y,,,,,,,,Y,N,,1,juvenile,Oncorhynchus kisutch,7/30/2025 9:05:55 PM,7/30/2025 9:00:50 PM,juvenile,Salvelinus malma,,,,1,,,,,,,,,,,,,,,,,,,,,,,,-149.190669000109,60.7981191665113
34,0.059263999999488,0,230.741033202962,2,Juniper Systems AR4,1.48660687473185,2.1,60.4836668333333,-151.058852333333,37.7,1.12999999523163,0.660000026226044,0.959999978542328,1,,,32,7/31/2025 3:33:32 AM,,,,,05fc8423-1707-4784-9e0d-df321a9d8ac3,7/30/2025 3:34:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.058852333666,60.4836668332046
35,0,251.364449520959,293.650543212891,2,iPhone SE 3,8.2600299091828,12.6565258132469,60.8031739662975,-149.201819101208,314.411262001842,,,,,,,,7/31/2025 9:32:08 PM,,,,,717734fa-df75-48f2-b49e-dbf5a7517d66,7/31/2025 9:32:58 PM,St,Ls,BR,,,,,,,,,,,,,1-2,SWD,Large Gravel,Cobble,ft,,,,,Y,,,Y,,,,,,,,Y,N,,3,juvenile,Salvelinus malma,7/31/2025 9:35:45 PM,7/31/2025 9:32:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-149.201819101418,60.8031739661773
36,0,69.3026605285398,346.142181396484,2,iPhone SE 3,4.26070773922993,11.5854094009106,60.8034507781665,-149.201317096973,316.503140667453,,,,,,,,7/31/2025 9:42:51 PM,,,,,43ebaf6f-94a1-4f94-80a7-9fa1ad882e82,7/31/2025 9:46:57 PM,St,Ls,Br,,,,,,,,,,,,,2-4,SWD,Small Gravel,Large Gravel,ft,,,,,,,,Y,,,,,,,,Y,N,,4,juvenile,Salvelinus malma,7/31/2025 9:50:29 PM,7/31/2025 9:47:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-149.201317096786,60.8034507781268
37,0,,138.643920898438,2,iPhone SE 3,12.3371543695398,12.6615673354212,60.8035789399153,-149.20125061935,319.800434589386,,,,,,,,7/31/2025 10:00:15 PM,,,,,99eab655-1ceb-42ef-8747-c09e798ea4cf,7/31/2025 10:00:32 PM,,,,Bm,,,,,,,,,,,,2-4,,Large Gravel,Cobble,ft,,,,,,,,,,,,Returned back downhill to last known AWC point due to very challenging vegetation,,,,,,,2,juvenile,Salvelinus malma,7/31/2025 10:01:16 PM,7/31/2025 9:57:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-149.201250619659,60.8035789399961
38,0,,231.911071777344,2,iPhone SE 3,4.93764887925202,6,60.8019742101944,-149.202574834482,308.764980316162,,,,,,,,7/31/2025 10:25:03 PM,,,,,44ee3be2-352a-433c-bf48-931499c81429,7/31/2025 10:25:09 PM,,,,Bm,,,,,,,,,,,,2-4,,Small Gravel,Large Gravel,ft,,,,,Y,,,,,,,355v,,,,,,,9,juvenile,Salvelinus malma,7/31/2025 10:25:53 PM,7/31/2025 10:20:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-149.202574834304,60.8019742103104
39,0,8.7890625,328.722534179688,2,iPhone SE 3,3.53479652992231,3,60.8023024265485,-149.202392704676,304.373500823975,,,,,,,,7/31/2025 10:38:53 PM,,,,,2ff7f66b-0540-43ef-8cbc-6fc8988a69ec,7/31/2025 10:38:56 PM,,,,Bm,,,,,,,,,,,,2-4,SWD,Large Gravel,Cobble,ft,,,,,Y,,,Y,,,,,,,,Y,N,,8,juvenile,Salvelinus malma,7/31/2025 10:40:32 PM,7/31/2025 10:35:00 PM,,,One Dolly varden that looks no more than a few weeks old,,,,,,,,,,,,,,,,,,,,,,,,,,,-149.202392704473,60.8023024267097
40,0,,288.901550292969,2,iPhone SE 3,4.74865153019176,4.02936443818856,60.8027937776047,-149.201802788441,306.934413986281,,,,,,,,7/31/2025 11:02:16 PM,,,,,542ced03-1394-47ea-889b-9820b1908bc1,7/31/2025 11:02:19 PM,,,,Bm,,,,,,,,,,,,2-4,,Large Gravel,Cobble,ft,,,,,,,see notes,Y,,,,,,,,Y,Y,,,,None,7/31/2025 11:05:28 PM,7/31/2025 11:00:00 PM,,,,Electro fish upstream of last known AWC point. Captured only Dolly Varden at all points in the survey.,,,,,,,,,,,,,,,,,,,,,,,,,,-149.201802788013,60.8027937774246
